strategy,accuracy,cost_usd,cost_per_query,mean_latency_s,models_used,saving_vs_best,accuracy_vs_best,gap_closed,pareto
always-cheapest,0.6855935513084047,0.1203623,1.4647961543142267e-05,3.066185834246075,1,0.9678481283165333,-0.08789974717881488,-0.6476366813284605,True
always-best,0.7734932984872196,3.7435549999999997,0.0004555865887793598,2.3400569550930994,1,0.0,0.0,0.0,True
oracle,0.9092171537180739,0.22020310999999998,2.6798479980528172e-05,2.451356821224291,18,0.9411780753855626,0.13572385523085428,1.0,True
random,0.6216933250706214,1.40637158,0.00017115389801630767,2.612595716198126,18,0.6243219132615923,-0.15179997341659823,-1.1184472557046061,False
keyword,0.5787603384059385,0.18134630000000002,2.206964829013022e-05,1.6911844955579896,5,0.9515577305529103,-0.19473296008128105,-1.434773273644913,False
