sla,accuracy,cost_usd,p95_latency_s,violation_rate,unsatisfiable,n_queries,models_used
no SLA,0.7175114524316477,0.11980372,6.68325,,0,2466,18
<= 2s,0.5602701013524459,0.14915699999999998,3.16025,0.11841038118410381,2466,2466,1
<= 4s,0.5561554784878566,0.07112180000000001,3.6055,0.038929440389294405,0,2466,2
<= 6s,0.6245397615923345,0.25337414999999996,5.064,0.017842660178426603,0,2466,5
<= 10s,0.7186554814694129,0.12886634,6.554,0.0186536901865369,0,2466,14
